id,supermarket,name,price,reference_price,reference_unit
249159,mercadona-es,Boquerones al vinagre Hacendado en aceite de girasol,5.1,19.25,kg
249160,mercadona-es,Migas de bacalao al estilo inglés Ubago,3.0,30.0,kg
249161,mercadona-es,Filetes de sardina marinada Hacendado en aceite de oliva virgen extra,1.3,26.0,kg
249162,mercadona-es,Sucedáneo de caviar negro Ubago Caviartic,1.85,24.67,kg
249163,mercadona-es,Migas de bacalao Ubago,4.4,14.67,kg
249164,mercadona-es,Anchoas del cantábrico Consorcio en aceite de oliva,3.4,68.0,kg
249165,mercadona-es,Bacalao seco y salado Ubago,10.84,13.55,kg
249166,mercadona-es,Sardinas saladas y prensadas Ubago,1.8,5.63,kg
249167,mercadona-es,Capellanes bacaladilla seca salada Hacendado,2.6,11.3,kg
249168,mercadona-es,Huevas de lumpo Hacendado,2.1,28.0,kg
249169,mercadona-es,Salmón ahumado Ubago,2.7,27.0,kg
249170,mercadona-es,Salmón ahumado Ubago,9.5,25.0,kg
249171,mercadona-es,Bacalao ahumado Ubago en aceite de girasol,2.3,28.75,kg
249172,mercadona-es,Salmón marinado Ubago,2.35,29.38,kg
249173,mercadona-es,Mojama de atún superior en lonchas Ubago,1.9,38.0,kg
249174,mercadona-es,Mojama de atún superior en taco Ubago,5.8,29.0,kg
249175,mercadona-es,Costillas de cerdo carnosas a tacos,3.17,5.99,kg
249176,mercadona-es,Filetes lomo de cerdo,2.64,6.59,kg
249177,mercadona-es,Filetes lomo de cerdo familiar,5.84,6.49,kg
249178,mercadona-es,Carrillada de cerdo,4.22,9.6,kg
249179,mercadona-es,Costilla de cerdo ibérico adobada,2.34,3.9,kg
249180,mercadona-es,Chuletas de cerdo sajonia,2.31,9.25,kg
249181,mercadona-es,Costilla de cerdo churrasco,4.95,4.95,kg
249182,mercadona-es,Panceta,2.75,5.5,kg
249183,mercadona-es,Patas de cerdo,2.0,4.0,kg
249184,mercadona-es,Cerdo a tacos,3.7,5.29,kg
249185,mercadona-es,Lomo de cerdo adobado,3.2,6.8,kg
249186,mercadona-es,San Jacobos de cerdo,1.64,4.1,kg
249187,mercadona-es,Filetes lomo de cerdo cabeza,2.97,5.4,kg
249188,mercadona-es,Lomo de cerdo trozo,3.44,4.3,kg
249189,mercadona-es,Flautas de bacón y queso,1.7,6.16,kg
